Player_ID,Session_ID,Timestamp,Playtime_minutes,Blocks_Placed,Blocks_Destroyed,Items_Crafted,Mobs_Killed,Deaths,Coordinates_X,Coordinates_Y,Coordinates_Z,Biome,Health_Remaining,Hunger_Level,Experience_Level,Tools_Used,Armor_Equipped,Weather,Game_Mode,Day_Cycle,Chat_Messages,Server_Latency,FPS,Device_Type
3512,94547,2024-01-01 00:29:00,295,654,699,54,18,8,-4896,113,-3981,Forest,0,18,32,Pickaxe,Diamond,Thunderstorm,Creative,Night,20,269,134,Mobile
5759,66983,2024-01-01 00:30:00,197,165,305,140,35,5,6655,205,-6851,Jungle,8,0,17,Hoe,Gold,Thunderstorm,Hardcore,Day,29,266,49,Mobile
6140,57317,2024-01-01 00:31:00,168,318,477,20,2,0,-7942,193,540,Plains,8,18,7,Pickaxe,Iron,Clear,Survival,Day,2,158,108,Mobile
8471,61744,2024-01-01 00:32:00,211,18,754,37,33,6,6395,247,8644,Jungle,18,3,48,None,Gold,Clear,Creative,Day,49,246,51,Mobile
4900,87674,2024-01-01 00:33:00,242,611,141,101,13,6,-3287,8,729,Savanna,0,2,26,Shovel,Diamond,Clear,Creative,Day,43,30,185,Mobile
6979,93135,2024-01-01 00:34:00,33,495,716,86,28,5,4344,8,-8020,Plains,3,19,6,Hoe,Netherite,Rain,Survival,Day,2,273,218,PC
8635,65537,2024-01-01 00:35:00,172,767,972,161,39,8,-6519,251,-2728,Forest,5,11,49,Pickaxe,Leather,Rain,Hardcore,Night,19,121,210,Console
6253,91805,2024-01-01 00:36:00,276,59,551,181,38,9,6946,60,-2184,Ocean,1,9,0,Axe,Netherite,Thunderstorm,Creative,Night,35,24,49,PC
4910,76651,2024-01-01 00:37:00,98,781,484,144,17,4,2906,242,9213,Snowy,8,7,45,None,Leather,Clear,Adventure,Night,40,44,103,Mobile
1141,79630,2024-01-01 00:38:00,15,53,882,82,40,4,9486,152,-8476,Savanna,17,7,25,None,None,Clear,Hardcore,Day,7,182,94,Mobile
3607,58290,2024-01-01 00:39:00,163,664,199,96,14,7,7021,162,-6910,Savanna,15,15,21,None,Netherite,Clear,Survival,Night,24,278,141,Console
5068,72926,2024-01-01 00:40:00,119,931,628,69,24,5,2894,237,1997,Forest,3,4,46,Hoe,None,Clear,Adventure,Night,44,78,112,Mobile
6489,50451,2024-01-01 00:41:00,172,268,901,85,9,8,6824,158,2019,Desert,19,16,29,None,Netherite,Thunderstorm,Hardcore,Night,47,83,125,Mobile
9395,55401,2024-01-01 00:42:00,158,910,307,139,23,1,-824,244,-516,Jungle,14,15,26,Shovel,Iron,Clear,Creative,Day,37,138,172,Console
7209,95913,2024-01-01 00:43:00,49,977,98,59,0,3,8418,17,1248,Desert,0,6,17,Hoe,Gold,Thunderstorm,Hardcore,Night,17,35,139,Console
4386,87942,2024-01-01 00:44:00,24,683,519,106,36,7,-8167,92,-1537,Savanna,6,13,3,Axe,Diamond,Thunderstorm,Adventure,Night,17,41,112,Mobile
1486,51687,2024-01-01 00:45:00,205,962,403,58,17,8,9456,199,7050,Plains,15,4,11,Pickaxe,Netherite,Thunderstorm,Creative,Day,5,279,119,PC
8493,80478,2024-01-01 00:46:00,213,597,588,41,14,4,-526,87,5172,Ocean,15,16,16,Hoe,Diamond,Thunderstorm,Adventure,Night,29,231,205,Mobile
8225,72916,2024-01-01 00:47:00,126,905,328,123,34,3,-659,132,2646,Forest,18,9,2,Pickaxe,Iron,Thunderstorm,Survival,Night,32,119,230,PC
4475,70888,2024-01-01 00:48:00,265,482,393,94,3,7,4965,121,-2155,Forest,9,16,1,Pickaxe,Leather,Thunderstorm,Hardcore,Night,43,103,187,Mobile
2765,51487,2024-01-01 00:49:00,66,78,705,156,35,5,1129,214,6013,Snowy,3,15,44,Pickaxe,Gold,Clear,Survival,Night,11,99,82,PC
2769,89455,2024-01-01 00:50:00,24,137,628,182,25,8,-2439,236,3754,Jungle,8,2,45,Shovel,Gold,Thunderstorm,Survival,Day,3,22,135,PC
8727,72092,2024-01-01 00:51:00,155,859,816,39,24,0,7165,112,-1296,Forest,3,12,22,Sword,None,Rain,Hardcore,Night,1,115,142,Mobile
5816,98541,2024-01-01 00:52:00,224,263,625,165,7,4,-1542,241,-3481,Ocean,16,2,42,Hoe,Netherite,Thunderstorm,Adventure,Day,39,208,139,Mobile
4178,79378,2024-01-01 00:53:00,262,609,539,48,8,6,6095,251,4741,Ocean,14,1,12,Hoe,Gold,Thunderstorm,Creative,Day,38,43,152,Console
3904,85577,2024-01-01 00:54:00,103,992,49,168,48,0,9957,128,-1136,Forest,13,5,45,Sword,Iron,Rain,Creative,Day,24,112,173,Console
8670,52395,2024-01-01 00:55:00,197,789,811,62,30,9,-892,133,1955,Plains,11,3,3,Axe,Leather,Thunderstorm,Adventure,Day,2,41,30,PC
2606,58417,2024-01-01 00:56:00,161,902,522,143,24,0,182,89,5506,Savanna,9,15,38,Axe,None,Thunderstorm,Hardcore,Night,18,82,208,Console
3452,86063,2024-01-01 00:57:00,299,953,933,161,28,7,8121,249,2422,Plains,7,14,9,Hoe,Iron,Thunderstorm,Survival,Night,33,185,36,PC
4048,93142,2024-01-01 00:58:00,229,720,591,128,4,8,5931,210,-2186,Forest,8,17,39,Axe,None,Rain,Creative,Day,32,102,184,Console
3606,98669,2024-01-01 00:59:00,189,464,291,42,17,9,1686,83,-2628,Jungle,5,6,42,Axe,Netherite,Rain,Creative,Night,19,55,139,PC
3926,95349,2024-01-01 01:00:00,19,333,571,78,30,5,-285,179,-2225,Plains,16,12,39,Shovel,Netherite,Rain,Hardcore,Night,39,95,173,Mobile
4809,94911,2024-01-01 01:01:00,168,202,759,41,9,2,-7201,70,6422,Ocean,1,6,41,Pickaxe,Iron,Rain,Creative,Night,12,240,110,PC
7047,57128,2024-01-01 01:02:00,256,551,616,160,8,1,-643,179,3108,Savanna,19,6,24,Shovel,Netherite,Clear,Adventure,Day,16,102,234,PC
6421,76431,2024-01-01 01:03:00,271,955,175,99,27,0,-6470,209,-6087,Snowy,3,12,32,Shovel,None,Clear,Hardcore,Night,23,166,206,PC
1731,59686,2024-01-01 01:04:00,15,779,233,64,9,7,9344,45,2982,Forest,5,5,29,Shovel,Leather,Thunderstorm,Hardcore,Day,20,177,231,PC
8367,93249,2024-01-01 01:05:00,144,378,463,105,15,7,-8042,20,7102,Forest,13,0,3,Pickaxe,Leather,Thunderstorm,Hardcore,Day,11,166,41,Console
9818,69904,2024-01-01 01:06:00,24,355,18,144,26,5,6754,53,4163,Ocean,1,16,40,Sword,Leather,Rain,Creative,Night,26,63,172,Mobile
3135,56771,2024-01-01 01:07:00,179,83,194,142,24,8,-6076,97,-228,Forest,19,6,31,Axe,Gold,Rain,Creative,Night,18,216,141,Console
9498,57560,2024-01-01 01:08:00,295,333,200,139,39,2,9961,202,9471,Ocean,15,11,32,Axe,Gold,Rain,Creative,Night,46,38,105,Mobile
3318,99280,2024-01-01 01:09:00,176,545,462,74,19,6,-823,228,-8797,Forest,3,5,19,Hoe,None,Clear,Creative,Day,12,290,87,Mobile
1218,61407,2024-01-01 01:10:00,43,653,562,73,48,2,728,15,5005,Forest,14,5,45,Hoe,Diamond,Thunderstorm,Survival,Night,12,60,148,Mobile
4986,76283,2024-01-01 01:11:00,253,246,683,23,15,3,5576,125,-7083,Ocean,2,5,13,None,None,Thunderstorm,Creative,Day,38,14,64,Console
5198,79292,2024-01-01 01:12:00,226,514,327,103,25,8,9160,112,-3623,Forest,19,8,14,Sword,Iron,Thunderstorm,Creative,Day,10,192,212,Mobile
7382,53802,2024-01-01 01:13:00,183,408,18,92,16,7,-8713,83,-6264,Savanna,9,3,2,Shovel,Gold,Clear,Creative,Night,32,71,121,Mobile
9280,95519,2024-01-01 01:14:00,122,706,406,137,7,2,4561,245,3764,Desert,7,17,4,Pickaxe,Diamond,Rain,Creative,Day,42,83,35,PC
3052,58171,2024-01-01 01:15:00,23,229,693,93,3,1,4076,232,371,Desert,8,2,46,Axe,Gold,Thunderstorm,Hardcore,Day,15,25,126,Console
2108,92769,2024-01-01 01:16:00,150,906,950,129,0,1,6706,239,585,Desert,16,11,12,Hoe,Diamond,Clear,Hardcore,Day,37,27,97,Console
3184,55102,2024-01-01 01:17:00,117,733,523,21,6,4,4205,87,38,Forest,2,14,19,Shovel,Iron,Clear,Creative,Day,3,190,215,Mobile
7755,71892,2024-01-01 01:18:00,33,207,554,5,34,9,5358,57,-6510,Savanna,11,19,25,Axe,Netherite,Thunderstorm,Adventure,Day,36,152,213,PC
5233,54867,2024-01-01 01:19:00,126,389,387,95,18,7,-2311,244,1857,Savanna,17,16,6,Axe,Gold,Rain,Adventure,Day,44,114,39,PC
2751,90657,2024-01-01 01:20:00,103,319,950,195,29,5,8320,136,5320,Desert,10,17,48,None,Diamond,Thunderstorm,Hardcore,Day,47,224,161,Mobile
9134,66880,2024-01-01 01:21:00,176,736,37,54,32,9,-8905,36,2219,Ocean,18,5,5,None,Gold,Thunderstorm,Creative,Day,9,37,208,Mobile
9621,85729,2024-01-01 01:22:00,293,535,503,98,2,8,9527,58,884,Ocean,8,13,33,Shovel,Diamond,Thunderstorm,Hardcore,Night,24,275,114,PC
7702,54313,2024-01-01 01:23:00,265,250,866,178,48,8,-5053,94,-7650,Savanna,14,16,11,None,None,Thunderstorm,Hardcore,Night,10,94,201,Console
5099,59492,2024-01-01 01:24:00,51,301,774,85,25,2,-4719,162,-4014,Jungle,17,18,13,Pickaxe,Iron,Clear,Creative,Day,27,279,217,Console
1354,80812,2024-01-01 01:25:00,109,963,455,92,47,0,7649,164,2015,Plains,3,12,12,Pickaxe,None,Thunderstorm,Adventure,Day,47,44,128,Console
9667,97866,2024-01-01 01:26:00,120,867,317,127,38,9,8940,81,-203,Jungle,13,18,43,Hoe,None,Rain,Survival,Night,7,122,147,Mobile
4489,71373,2024-01-01 01:27:00,245,20,470,160,2,8,-9591,181,-8270,Desert,13,14,43,Hoe,Netherite,Clear,Adventure,Day,35,93,145,PC
7585,93745,2024-01-01 01:28:00,225,90,368,160,31,8,-7640,20,-9703,Plains,5,19,25,Sword,Iron,Rain,Adventure,Night,0,261,227,Mobile
8667,97985,2024-01-01 01:29:00,205,679,11,36,15,7,-9627,45,-5320,Snowy,7,2,20,None,Leather,Clear,Creative,Night,10,86,109,Mobile
6753,95327,2024-01-01 01:30:00,297,649,214,95,37,5,-3734,91,-6506,Desert,1,2,36,Hoe,None,Thunderstorm,Adventure,Night,5,32,88,PC
5390,96897,2024-01-01 01:31:00,173,194,795,166,47,8,-5174,97,-8102,Forest,9,16,20,Sword,Gold,Rain,Adventure,Day,31,121,152,Console
9685,97037,2024-01-01 01:32:00,288,323,305,132,17,3,3036,211,-526,Forest,4,9,8,Shovel,Netherite,Clear,Creative,Night,2,107,228,Mobile
4835,65183,2024-01-01 01:33:00,50,208,715,165,31,1,-5654,160,-2244,Snowy,2,4,39,Hoe,Gold,Thunderstorm,Survival,Day,18,84,74,Console
9113,65635,2024-01-01 01:34:00,184,433,755,85,6,5,4753,134,3107,Snowy,3,9,9,None,Netherite,Rain,Hardcore,Night,1,220,106,PC
3954,52507,2024-01-01 01:35:00,242,123,515,45,14,9,2440,26,3035,Desert,2,13,45,Axe,Iron,Clear,Hardcore,Day,31,194,176,Console
6722,97104,2024-01-01 01:36:00,190,880,318,3,26,8,4517,25,1184,Ocean,5,3,41,Hoe,Leather,Rain,Survival,Day,12,293,140,Mobile
8269,71127,2024-01-01 01:37:00,87,729,881,115,28,2,-6888,2,2986,Ocean,4,13,33,Pickaxe,Gold,Rain,Adventure,Day,18,267,40,PC
7383,58128,2024-01-01 01:38:00,138,30,244,180,27,0,-9205,22,2399,Ocean,19,6,18,None,Gold,Clear,Survival,Night,36,283,34,Console
9085,98546,2024-01-01 01:39:00,110,207,716,68,35,8,9326,181,-1181,Jungle,6,16,37,Hoe,Diamond,Thunderstorm,Survival,Day,42,62,174,Console
7875,51982,2024-01-01 01:40:00,16,595,235,41,21,6,5495,190,-2415,Plains,0,15,26,Axe,Gold,Thunderstorm,Survival,Night,8,61,183,PC
2868,57061,2024-01-01 01:41:00,89,934,815,45,44,9,7810,165,7093,Snowy,12,4,20,Axe,Gold,Thunderstorm,Creative,Night,33,179,236,Mobile
9526,80162,2024-01-01 01:42:00,35,547,249,26,30,8,2303,218,5447,Savanna,2,5,7,Axe,Netherite,Clear,Creative,Night,23,32,155,Mobile
7601,61493,2024-01-01 01:43:00,207,297,291,55,42,4,2682,97,-4585,Plains,18,6,27,None,Diamond,Rain,Hardcore,Day,42,254,110,PC
6295,81170,2024-01-01 01:44:00,197,180,123,78,21,4,8119,19,2904,Ocean,0,0,1,None,Leather,Rain,Survival,Night,33,276,81,Console
5346,71937,2024-01-01 01:45:00,143,468,945,7,42,4,-3738,127,5165,Forest,0,2,45,Pickaxe,Gold,Thunderstorm,Survival,Day,22,221,32,PC
5005,83230,2024-01-01 01:46:00,66,44,381,110,43,2,6108,156,1218,Ocean,7,6,36,Sword,Diamond,Clear,Creative,Day,30,298,58,Console
1406,69426,2024-01-01 01:47:00,228,726,436,69,30,4,4638,174,-5589,Savanna,16,7,16,Sword,None,Thunderstorm,Hardcore,Night,13,31,62,Console
3427,76448,2024-01-01 01:48:00,153,867,821,116,15,0,-2385,57,-3974,Jungle,11,14,4,None,Leather,Thunderstorm,Survival,Day,27,257,110,Mobile
7991,81119,2024-01-01 01:49:00,295,562,186,151,32,1,8112,44,-8570,Plains,14,2,32,Sword,Diamond,Thunderstorm,Creative,Night,28,251,58,Mobile
6629,69344,2024-01-01 01:50:00,273,506,725,0,0,3,6055,125,-3167,Jungle,1,19,47,Shovel,Gold,Clear,Adventure,Night,20,258,41,Console
6213,66972,2024-01-01 01:51:00,43,427,447,131,38,8,3793,253,-7234,Snowy,7,6,48,Shovel,None,Thunderstorm,Creative,Night,30,263,101,PC
6441,83625,2024-01-01 01:52:00,80,961,30,31,14,5,5090,8,2810,Snowy,19,2,41,Shovel,Iron,Clear,Hardcore,Day,9,209,158,Mobile
8442,82217,2024-01-01 01:53:00,136,350,550,194,47,6,567,98,-1075,Plains,18,16,46,None,Netherite,Rain,Survival,Day,14,61,71,Console
4372,93259,2024-01-01 01:54:00,293,477,975,100,18,7,-1687,86,4951,Forest,5,7,35,Shovel,Iron,Thunderstorm,Creative,Day,31,149,106,PC
7737,85426,2024-01-01 01:55:00,175,222,335,1,8,8,-5695,5,-7020,Ocean,10,4,18,Sword,Gold,Thunderstorm,Hardcore,Day,34,228,128,Console
2962,57063,2024-01-01 01:56:00,223,792,103,193,5,1,21,66,3950,Forest,3,3,31,Hoe,Netherite,Clear,Survival,Day,6,227,94,PC
7952,95206,2024-01-01 01:57:00,291,717,39,72,17,0,-3191,191,-4169,Forest,0,17,18,None,Leather,Clear,Survival,Night,1,202,144,Mobile
1988,92692,2024-01-01 01:58:00,170,776,854,13,7,3,-6086,209,8743,Jungle,8,0,40,Hoe,Netherite,Thunderstorm,Adventure,Night,1,139,233,Console
2495,84155,2024-01-01 01:59:00,145,441,94,92,28,6,-2573,2,-7420,Plains,12,10,32,Hoe,None,Thunderstorm,Survival,Day,5,124,99,Mobile
1396,86853,2024-01-01 02:00:00,150,985,957,156,34,3,3777,175,8578,Snowy,5,4,9,Sword,None,Rain,Survival,Day,35,298,200,Console
8395,58780,2024-01-01 02:01:00,85,76,520,115,44,4,-5694,171,1719,Snowy,9,0,44,None,Iron,Rain,Adventure,Day,4,121,59,Mobile
4508,56939,2024-01-01 02:02:00,148,621,360,172,9,3,-3788,10,-9174,Plains,14,10,49,None,Gold,Clear,Survival,Night,23,113,127,Mobile
7609,59729,2024-01-01 02:03:00,134,372,301,193,26,7,-1577,20,2309,Savanna,11,1,3,Shovel,Leather,Rain,Adventure,Day,19,221,33,Mobile
7679,60573,2024-01-01 02:04:00,51,742,821,140,39,3,8179,221,-1736,Plains,16,7,39,Shovel,None,Clear,Adventure,Night,5,134,189,Console
2201,67211,2024-01-01 02:05:00,35,592,497,150,28,1,7909,109,-4133,Jungle,13,1,10,Pickaxe,Leather,Rain,Adventure,Day,33,12,215,Console
7682,56228,2024-01-01 02:06:00,271,758,918,171,17,9,6894,220,8015,Savanna,1,11,19,Axe,Iron,Thunderstorm,Creative,Day,13,142,98,Console
2265,78536,2024-01-01 02:07:00,293,976,661,92,8,3,-5085,106,-7382,Savanna,17,15,1,None,Gold,Clear,Creative,Night,27,54,130,Console
3881,54584,2024-01-01 02:08:00,112,390,850,193,17,6,-7001,177,549,Savanna,11,19,0,Axe,Diamond,Rain,Adventure,Night,26,50,220,Console
6027,84769,2024-01-01 02:09:00,267,610,360,45,46,4,4792,215,1226,Snowy,0,10,30,Sword,Diamond,Thunderstorm,Creative,Night,39,231,139,Mobile
4674,73728,2024-01-01 02:10:00,119,835,83,89,0,0,-6040,171,-8124,Jungle,8,13,48,Shovel,Gold,Rain,Creative,Night,29,55,150,Console
8274,80228,2024-01-01 02:11:00,141,376,899,127,38,8,-4911,223,-1791,Desert,1,18,41,None,Netherite,Clear,Adventure,Day,20,75,214,Console
6367,71163,2024-01-01 02:12:00,190,388,324,144,27,7,7772,184,848,Ocean,14,13,8,Shovel,Netherite,Rain,Survival,Day,13,48,161,Mobile
3150,77349,2024-01-01 02:13:00,204,130,791,85,31,7,1703,105,-2134,Desert,18,5,3,None,Iron,Rain,Hardcore,Night,30,84,222,PC
1309,58425,2024-01-01 02:14:00,295,841,849,92,36,9,9925,174,-4639,Ocean,1,7,21,Sword,Diamond,Thunderstorm,Adventure,Night,23,251,37,PC
9382,54851,2024-01-01 02:15:00,185,9,564,96,28,2,2071,203,3251,Plains,8,6,12,Shovel,Leather,Clear,Survival,Night,7,102,236,PC
3739,62959,2024-01-01 02:16:00,213,30,34,177,44,6,-7348,102,2956,Jungle,19,2,20,Hoe,Iron,Thunderstorm,Hardcore,Day,31,164,40,Mobile
2381,96444,2024-01-01 02:17:00,87,309,407,51,2,2,8290,221,-1673,Jungle,14,6,24,Hoe,Iron,Thunderstorm,Adventure,Night,22,113,86,Console
1339,84312,2024-01-01 02:18:00,47,184,128,138,49,6,-5168,0,-9282,Savanna,13,12,12,Shovel,Iron,Clear,Survival,Day,10,124,185,Console
3482,50056,2024-01-01 02:19:00,225,205,120,125,23,0,5846,40,2829,Jungle,10,16,15,Axe,Gold,Clear,Hardcore,Day,5,181,153,Mobile
9073,89629,2024-01-01 02:20:00,112,287,90,59,19,6,-4137,85,7382,Forest,19,16,3,Axe,Iron,Clear,Creative,Day,3,29,206,Console
5468,87908,2024-01-01 02:21:00,57,714,814,181,47,8,1609,170,-9646,Savanna,0,3,33,None,Leather,Clear,Creative,Day,43,174,99,Console
8472,91396,2024-01-01 02:22:00,127,311,620,75,47,3,5537,13,4704,Snowy,15,5,36,None,Leather,Clear,Survival,Day,9,93,196,PC
6905,98190,2024-01-01 02:23:00,284,892,900,148,47,3,-4708,97,-1529,Savanna,11,7,22,Hoe,Iron,Rain,Survival,Night,27,97,40,PC
4502,86440,2024-01-01 02:24:00,76,484,15,163,38,4,3843,213,1312,Forest,18,11,23,None,Iron,Thunderstorm,Survival,Night,30,164,172,Mobile
5038,57788,2024-01-01 02:25:00,100,721,952,130,19,1,-6664,36,-5347,Savanna,11,5,4,Hoe,Iron,Clear,Adventure,Day,11,264,206,PC
1199,59761,2024-01-01 02:26:00,18,897,451,91,30,2,-8880,85,-7603,Forest,1,8,19,Shovel,Iron,Rain,Creative,Night,47,276,219,Console
3691,58638,2024-01-01 02:27:00,104,264,683,120,31,1,-8901,215,-4288,Forest,3,18,19,Hoe,None,Clear,Survival,Day,7,109,236,PC
4889,86916,2024-01-01 02:28:00,85,642,779,64,2,5,-9838,34,-1437,Ocean,13,5,23,None,Diamond,Clear,Creative,Day,15,142,93,PC
8672,61660,2024-01-01 02:29:00,14,559,886,88,3,8,-2331,216,-9684,Ocean,4,5,17,Pickaxe,Gold,Thunderstorm,Adventure,Day,41,84,212,PC
2002,73160,2024-01-01 02:30:00,114,135,266,166,43,8,-2781,25,-9117,Jungle,13,12,15,Pickaxe,None,Clear,Survival,Day,21,129,147,PC
7940,99286,2024-01-01 02:31:00,180,598,861,169,5,9,6898,172,-6380,Savanna,2,5,41,Axe,Gold,Thunderstorm,Adventure,Night,39,160,134,Mobile
4750,80158,2024-01-01 02:32:00,18,654,137,52,32,2,6265,179,-525,Forest,16,6,41,Hoe,Gold,Rain,Hardcore,Night,5,143,204,PC
1995,95135,2024-01-01 02:33:00,45,396,189,152,7,0,-90,168,1035,Ocean,2,11,49,Shovel,None,Clear,Survival,Day,28,127,189,Mobile
1183,73762,2024-01-01 02:34:00,143,313,697,182,2,1,9384,45,-5621,Desert,3,7,42,Shovel,Iron,Clear,Survival,Night,29,203,54,PC
3217,96522,2024-01-01 02:35:00,102,978,366,122,38,2,3926,105,-7574,Ocean,13,12,19,None,Leather,Thunderstorm,Hardcore,Night,19,93,172,Console
2284,70014,2024-01-01 02:36:00,260,649,283,93,18,6,4578,82,-2884,Ocean,8,9,28,None,Iron,Clear,Adventure,Day,8,136,87,PC
5447,68444,2024-01-01 02:37:00,211,109,863,79,34,8,-4,63,-3242,Savanna,9,18,17,Hoe,Leather,Thunderstorm,Survival,Night,7,209,160,Console
2768,74171,2024-01-01 02:38:00,102,850,165,8,12,9,-5202,38,-6493,Plains,17,13,12,Sword,Iron,Clear,Survival,Day,6,225,209,Console
7432,59044,2024-01-01 02:39:00,234,524,464,198,42,3,-7593,8,-8970,Savanna,16,2,29,Pickaxe,None,Rain,Creative,Night,43,269,59,Mobile
2273,55018,2024-01-01 02:40:00,23,146,72,87,38,0,-1488,131,1411,Savanna,5,18,5,None,Netherite,Clear,Adventure,Night,20,66,236,Mobile
9573,86596,2024-01-01 02:41:00,223,939,150,62,10,4,2618,40,9641,Ocean,5,17,29,Sword,Netherite,Rain,Creative,Day,10,164,172,Console
3980,65153,2024-01-01 02:42:00,167,384,379,47,47,3,3761,165,6679,Jungle,16,15,37,None,Iron,Rain,Hardcore,Night,28,108,116,PC
6468,96425,2024-01-01 02:43:00,136,754,360,180,45,6,3985,2,8479,Desert,16,6,16,Pickaxe,Gold,Thunderstorm,Hardcore,Day,45,58,198,PC
1476,84103,2024-01-01 02:44:00,62,62,94,77,9,0,-6208,136,-146,Desert,3,17,2,Hoe,Gold,Rain,Survival,Night,14,227,71,Console
3408,94521,2024-01-01 02:45:00,236,897,205,116,17,1,-5522,52,6596,Plains,1,5,49,Hoe,Iron,Clear,Survival,Day,48,122,153,Console
3361,97304,2024-01-01 02:46:00,180,667,29,134,17,8,-817,49,-1226,Snowy,15,18,23,Sword,Diamond,Thunderstorm,Adventure,Day,6,229,45,Console
